Age (Ka),GDGT-0,GDGT-1,GDGT-2,GDGT-3,Cren,Cren'
66.95,0.274108322,0.068031704,0.065852048,0.011294584,0.548877147,0.031836196
67.77,0.267506339,0.063254103,0.06409006,0.010783849,0.562877922,0.031487725
68.76,0.27047257,0.068801619,0.069378562,0.012312542,0.544683171,0.034351537
69.6,0.262354219,0.067638197,0.071942446,0.012072393,0.551353789,0.034638956
70.56,0.265103609,0.067613581,0.070532153,0.012306645,0.549664364,0.034779648
71.46,0.252985405,0.072357364,0.071118974,0.012030075,0.55285272,0.038655462
72.57,0.272270622,0.084613627,0.082984513,0.024174779,0.491358368,0.04459809
73.57,0.274912356,0.068854196,0.068097556,0.011324371,0.54730258,0.029508941
74.85,0.254254299,0.066685996,0.074269019,0.012868836,0.550884314,0.041037536
75.6,0.25324652,0.065110256,0.070506133,0.012194683,0.561171265,0.037771143
76.43,0.266101807,0.070828093,0.075461706,0.013371285,0.536837228,0.037399881
77.3,0.256120952,0.074128399,0.080221144,0.013200948,0.532551055,0.043777502
78.03,0.248534584,0.067995311,0.073856975,0.012016413,0.556858148,0.04073857
78.86,0.247377593,0.066969624,0.072436533,0.011856357,0.560358082,0.041001811
79.86,0.246563386,0.072987126,0.07920576,0.013091861,0.541130264,0.047021602
80.78,0.240258031,0.069115324,0.076355977,0.013098999,0.554897314,0.046274355
81.81,0.233987567,0.064957743,0.072291681,0.01201369,0.572745687,0.044003632
83.75,0.25300129,0.066474849,0.069451334,0.011310646,0.56305189,0.036709991
84.64,0.263904906,0.064978267,0.064091191,0.010689258,0.563292824,0.033043555
85.49,0.26303776,0.067172453,0.068911545,0.011978,0.55216191,0.036738332
86.24,0.274327122,0.068668047,0.068236715,0.01147343,0.544340925,0.032953761
87.07,0.286163972,0.079410502,0.078695092,0.013807412,0.504364001,0.037559021
87.18,0.281136284,0.068670032,0.06837657,0.011327621,0.53996948,0.030520014
88.1,0.264765831,0.070797332,0.074439836,0.012368845,0.541797446,0.03583071
88.25,0.264602117,0.071148569,0.07369659,0.012152097,0.542924343,0.035476284
