fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,SST
0.330589243,0.067609609,0.064170863,0.004866793,0.499163998,0.033599494,23.40901
0.282415155,0.062783799,0.052368999,0.010725396,0.560842121,0.03086453,22.38611
0.292011378,0.064581435,0.060659525,0.013756194,0.539284302,0.029707167,23.41811
0.30927021,0.069123602,0.059718388,0.00869436,0.515668055,0.037525385,22.126291
0.344232594,0.076125124,0.068809566,0.008161829,0.470696713,0.031974174,22.478
0.328431624,0.069246957,0.07035175,0.007158687,0.487788611,0.037022371,24.554491
0.297720977,0.073346752,0.072606442,0.010907081,0.503821316,0.041597433,23.59299
0.313385037,0.07307093,0.071792069,0.006095506,0.497572497,0.038083961,23.899809
0.256685729,0.068813559,0.08937023,0.012122106,0.523951803,0.049056574,27.743109
0.234902666,0.07095497,0.091567971,0.016249911,0.537073889,0.049250592,27.56929
0.189589377,0.063497985,0.080013618,0.01820983,0.605018446,0.043670744,27.52871
0.205340626,0.068953196,0.087240435,0.022420906,0.570673202,0.045371636,27.52871
0.171708781,0.06376583,0.088727922,0.022747637,0.604781212,0.048268617,27.7068
0.238238459,0.067944047,0.089057989,0.012626997,0.544638798,0.04749371,27.76251
0.20723775,0.067271673,0.08889238,0.017200193,0.56847128,0.050926724,27.52871
0.202558454,0.06881448,0.098607475,0.016757217,0.562398297,0.050864077,27.7068
0.240060195,0.072213199,0.095731803,0.013514261,0.528901469,0.049579073,27.660591
0.228444727,0.070145469,0.097444467,0.013069467,0.538971015,0.051924856,27.73231
0.548,0.041,0.012,0.002,0.392,0.005,-1.28251
0.543,0.031,0.009,0.002,0.41,0.005,-0.87941
0.54,0.042,0.014,0.002,0.396,0.007,1.16679
0.452,0.049,0.025,0.002,0.462,0.009,10.00281
0.426,0.053,0.028,0.003,0.479,0.011,11.28709
0.432,0.046,0.025,0.003,0.484,0.011,8.4463
0.419,0.055,0.033,0.003,0.479,0.011,13.03101
0.384,0.059,0.047,0.004,0.494,0.013,14.19919
0.388,0.056,0.043,0.003,0.494,0.015,15.58941
0.359,0.068,0.062,0.004,0.48,0.026,23.98399
0.365,0.058,0.051,0.003,0.498,0.024,18.02191
0.342,0.066,0.059,0.006,0.499,0.029,23.6273
0.369,0.062,0.055,0.006,0.482,0.027,24.66679
0.34,0.063,0.059,0.007,0.506,0.026,27.88769
0.345,0.067,0.063,0.006,0.49,0.031,27.43219
0.344,0.071,0.069,0.004,0.481,0.032,24.618
0.34,0.062,0.061,0.005,0.503,0.029,26.53549
0.224,0.06,0.066,0.007,0.598,0.045,24.00869
0.251,0.051,0.063,0.006,0.586,0.042,27.53981
0.23,0.045,0.067,0.007,0.603,0.047,29.68589
0.28331704,0.06948833,0.125957963,0.014629122,0.427255905,0.07935164,25.20509
0.427925308,0.059960351,0.072626693,0.008357174,0.375170645,0.055959829,25.9219
0.327639013,0.076111359,0.086292001,0.009768064,0.441153732,0.059035831,26.0559
0.279253872,0.074106652,0.10925325,0.011037103,0.441584276,0.084764846,26.5194
0.237840415,0.059831068,0.081706236,0.009628297,0.549665628,0.061328356,25.005009
0.297734701,0.086441797,0.13749347,0.014252797,0.380405929,0.083671305,25.005009
0.182,0.05,0.064,0.011,0.635,0.058,27.24951
0.176,0.051,0.07,0.011,0.63,0.061,28.43491
0.152,0.046,0.068,0.016,0.66,0.059,28.67721
0.204,0.057,0.07,0.012,0.602,0.055,27.175
0.181,0.048,0.065,0.012,0.642,0.051,27.46781
0.194,0.05,0.063,0.009,0.625,0.06,27.81301
0.18,0.049,0.072,0.009,0.628,0.061,27.6889
0.177,0.052,0.076,0.009,0.622,0.063,28.51731
0.2,0.059,0.078,0.011,0.597,0.056,26.8683
0.169,0.051,0.063,0.014,0.651,0.053,26.793491
0.193,0.06,0.077,0.013,0.593,0.065,27.199509
0.197,0.061,0.073,0.01,0.604,0.054,27.10921
0.193,0.066,0.07,0.009,0.613,0.048,27.24279
0.217,0.055,0.073,0.009,0.592,0.054,27.2654
0.2,0.063,0.086,0.012,0.575,0.065,27.19171
0.213,0.057,0.073,0.011,0.592,0.054,27.73279
0.203,0.064,0.087,0.011,0.573,0.06,27.52539
0.193,0.062,0.085,0.011,0.591,0.059,27.84929
0.183,0.057,0.077,0.01,0.625,0.049,27.73991
0.212,0.06,0.078,0.01,0.584,0.057,27.66069
0.205,0.061,0.078,0.012,0.586,0.058,27.96099
0.201,0.058,0.075,0.01,0.604,0.053,28.03131
0.213,0.062,0.085,0.01,0.571,0.059,28.0873
0.218,0.055,0.079,0.009,0.577,0.061,28.955809
0.199,0.052,0.076,0.009,0.606,0.058,28.83789
0.179,0.05,0.08,0.01,0.63,0.051,28.932209
0.179,0.052,0.077,0.01,0.633,0.049,29.1181
0.145,0.05,0.071,0.013,0.663,0.058,28.64389
0.135,0.05,0.077,0.014,0.667,0.058,28.83769
0.119,0.047,0.072,0.015,0.7,0.046,28.77821
0.137,0.049,0.07,0.013,0.67,0.06,28.83769
0.175,0.05,0.069,0.012,0.64,0.054,27.22909
0.365157166,0.063440687,0.049910682,0.007952636,0.494596823,0.018942006,17.98451
0.307882323,0.072354321,0.055075677,0.007343424,0.535637959,0.021706296,17.98451
0.535249976,0.048536126,0.036402094,0.005651467,0.360696549,0.013463788,15.27881
0.455142745,0.061369317,0.043299463,0.006239214,0.41867512,0.015274141,14.9033
0.280991577,0.078901462,0.04789369,0.007387589,0.567889507,0.016936174,13.241309
0.467910435,0.049251644,0.024053129,0.005364229,0.44479198,0.008628583,11.8515
0.43600598,0.066957906,0.036321505,0.005716689,0.442174849,0.012823071,11.8515
0.448113823,0.069313579,0.039135141,0.005365952,0.425241633,0.012829871,13.56149
0.45967313,0.071767323,0.035433239,0.005104789,0.417391547,0.010629972,9.8801
0.431359919,0.055545314,0.027874017,0.004469979,0.470310685,0.010440086,10.37591
0.47188216,0.05389317,0.028766507,0.005436283,0.43091053,0.009111351,11.8319
0.452606676,0.059614164,0.032470694,0.005369503,0.439707312,0.010231651,11.8515
0.458836394,0.046132743,0.020510631,0.006399058,0.460680409,0.007440765,12.52831
0.5152,0.0698,0.0209,0.0042,0.3832,0.0068,0.10071
0.4962,0.0609,0.0179,0.0027,0.4146,0.0077,-1.5944101
0.4634,0.0432,0.0123,0.005,0.4733,0.0029,6.62291
0.496,0.0225,0.0055,0.0026,0.4707,0.0027,-0.54161
0.5112,0.0676,0.0207,0.0032,0.3883,0.0091,0.80079
0.5434,0.061,0.0192,0.0039,0.3655,0.0069,0.6523
0.5492,0.0329,0.0092,0.0042,0.4016,0.003,6.65599
0.497,0.0481,0.014,0.0031,0.4307,0.0071,-1.6404101
0.541,0.0234,0.0068,0.0024,0.4237,0.0027,-0.13101
0.5461,0.0608,0.0197,0.0034,0.3622,0.0078,0.068909995
0.5164,0.0328,0.0097,0.0027,0.4341,0.0043,-1.68461
0.4588,0.0345,0.0103,0.0038,0.4891,0.0036,11.3955
0.4967,0.0204,0.0049,0.0025,0.4724,0.003,1.65999
0.5642,0.0242,0.0068,0.0034,0.3991,0.0022,5.9996
0.494,0.0554,0.0175,0.0029,0.4217,0.0085,-1.53881
0.5419,0.0398,0.0117,0.0053,0.3975,0.0038,7.04811
0.5404,0.0342,0.011,0.003,0.4074,0.004,7.97689
0.5056,0.0232,0.0064,0.0027,0.459,0.0032,-1.46031
0.5421,0.0341,0.0104,0.0047,0.4057,0.0029,6.60629
0.503,0.0342,0.0099,0.003,0.4446,0.0052,-1.31891
0.531,0.0204,0.0056,0.0021,0.4378,0.0031,-1.48721
0.4886,0.0279,0.0087,0.0037,0.4686,0.0025,11.1444
0.5258,0.0389,0.0118,0.0053,0.4145,0.0037,6.90029
0.5681,0.0274,0.0084,0.0037,0.3898,0.0026,6.07719
0.5326,0.0502,0.0167,0.0032,0.39,0.0072,0.81859
0.5414,0.0219,0.0068,0.0024,0.4248,0.0026,-1.50741
0.5574,0.0261,0.0077,0.0037,0.4023,0.0028,6.20519
0.5328,0.0367,0.0108,0.0039,0.4104,0.0053,13.18201
0.4826,0.0197,0.0051,0.0025,0.487,0.0031,2.10091
0.5336,0.0275,0.0078,0.0035,0.4238,0.0038,4.98141
0.5435,0.017,0.0047,0.0021,0.4302,0.0025,-0.24681
0.5111,0.0208,0.0052,0.0025,0.4566,0.0038,-0.87431
0.5515,0.0198,0.0058,0.0031,0.4178,0.0021,5.36089
0.4792,0.0495,0.0167,0.0057,0.4436,0.0051,11.495509
0.5234,0.041,0.0151,0.0031,0.4127,0.0047,9.33311
0.5436,0.0282,0.0085,0.0042,0.4126,0.0031,6.324
0.4778,0.0345,0.0113,0.003,0.4683,0.005,-1.74691
0.5261,0.0325,0.0108,0.0031,0.4232,0.0044,7.15161
0.5152,0.0206,0.0057,0.003,0.4527,0.0029,-1.73191
0.4563,0.0532,0.0188,0.0071,0.4605,0.0041,11.565909
0.528,0.0321,0.0098,0.0035,0.4216,0.0049,7.98381
0.5053,0.0248,0.0066,0.0035,0.4559,0.0039,-0.87441003
0.5517,0.0195,0.0057,0.0031,0.4178,0.0023,5.48821
0.5183,0.0256,0.0078,0.0037,0.4415,0.003,6.30859
0.5295,0.0234,0.007,0.0035,0.4339,0.0028,6.3393
0.5527,0.021,0.0062,0.0032,0.4143,0.0025,5.65379
0.4635,0.0373,0.0127,0.0049,0.4779,0.0037,12.7035
0.4461,0.0237,0.0067,0.0023,0.5167,0.0045,-0.54001004
0.5303,0.0337,0.0109,0.0036,0.4167,0.0048,8.71311
0.5486,0.0281,0.0091,0.0042,0.4072,0.0028,6.47189
0.4957,0.0233,0.0073,0.0028,0.4676,0.0034,8.2266
0.5596,0.0176,0.0053,0.0031,0.4126,0.0017,3.97571
0.4995,0.0566,0.0223,0.0032,0.4111,0.0073,9.674009
0.565,0.0373,0.0123,0.0025,0.376,0.0068,-0.87301004
0.5208,0.015,0.004,0.0018,0.4555,0.0029,-1.5599
0.5319,0.0361,0.0116,0.0027,0.411,0.0068,-0.87301004
0.5015,0.0642,0.0262,0.0034,0.3966,0.0081,10.3355
0.5417,0.0505,0.0176,0.003,0.3781,0.0092,1.1666
0.5312,0.0328,0.0107,0.0035,0.4165,0.0052,5.15859
0.5431,0.019,0.0057,0.0032,0.4267,0.0024,8.8103
0.5317,0.0235,0.0069,0.0027,0.4308,0.0044,-1.48951
0.5214,0.0371,0.0121,0.0043,0.4194,0.0057,-1.2352101
0.5506,0.0245,0.0062,0.0059,0.4103,0.0025,-1.18131
0.4948,0.0636,0.0262,0.0032,0.4035,0.0087,7.96429
0.5591,0.0189,0.006,0.0033,0.4106,0.0021,3.9012
0.55,0.0172,0.0052,0.003,0.4225,0.002,4.54619
0.4794,0.0181,0.0048,0.0025,0.4917,0.0035,1.54109
0.499,0.0543,0.022,0.0032,0.414,0.0075,10.07401
0.5143,0.06,0.0249,0.0031,0.3896,0.0081,5.73601
